Width: 100
Length: 200
Depth: 400
1.59 34.74 377.87
8.22 97.97 335.01
45.96 43.91 191
47.98 71.76 205.19
57.19 22.12 135.92
28.01 11.48 282.78
8.54 44.42 353.93
91.06 11.83 351.85
95.43 7.76 332.45
57.17 46.01 34.4
73.76 30.76 164.62
80.02 76.09 31.46
82.78 63.21 387.4
19.01 94.38 383.27
4.54 31.81 80.3
90.9 12 336.25
87.63 39.65 206.14
7.85 5.95 53.04
57.36 56.46 233.83
39.64 95.94 396.38
33.56 39.67 374.23
11.17 60.37 179.45
41.59 56.39 293.68
44.66 16.38 238.1
69.12 86.93 83.64
34.45 38.19 279.37
53.96 0.81 41.72
66.49 62.67 184.7
72.45 47.16 348.15
47.64 20.19 53.74
69.63 27.64 328.75
73.06 6.8 203.35
50.34 3.27 20.71
49.05 21.52 136.23
28.99 92.18 234.71
90.8 51.09 46.71
54.66 4.98 120.96
16.23 46.79 305.97
12.02 11.25 144.14
46.44 19.28 65.58
49.38 81.81 185.78
22.27 16.83 228.37
4.04 22.53 231.7
1.17 89.84 177.8
51.19 93.05 241.2
20.68 33.62 58.86
1.29 9.73 244.07
30.87 3.52 336.12
31.05 25.93 189.93
9.7 7.3 383.68
61.83 92.62 32.67
35.54 92.02 177.52
79.15 67.06 138.8
24.03 85.32 51.54
83.23 67.71 96.28
65.02 32.72 71.62
77.38 98.88 40.25
66.13 7.14 226.65
34.05 41.94 286.48
72.93 45.34 296.96
86.79 73.18 174.93
88.82 25.28 251.88
93.68 48.76 295.99
11.55 45.27 326.26
38.12 89.09 144.5
7.3 27.42 161.33
87.03 86.35 8.03
12.49 60.04 249.03
53.53 8.22 142.38
17.47 22.88 99.74
22.57 30.57 116.81
58.61 80.35 188.44
41.87 7.64 79.59
14.82 50.43 318.19
4.17 42.28 357.79
42.49 87.73 58.16
77.15 80.66 0.8
1.6 55.3201 288.37
2.61 25.67 309.39
23.1 5.77 325.45
58.39 89.89 23.13
23.61 34.01 110.94
98.98 86.5 283.22
57.94 88.51 179.29
56.63 81.07 87.7
26.27 69.63 166.64
99.15 47.67 335.27
78.87 54.3401 253.58
90.96 49.8 21.04
85.24 63.17 252.05
25.23 85.59 34.81
55.64 8 238.1
83.08 55.1801 7.03
44.05 31.77 86.59
64.28 68.71 94.14
16.81 6.38 128.08
45.21 39.66 359.68
91.62 29.14 323.14
39.34 88.91 84.87
73.88 3.93 277.2
97.22 32.51 177.58
93.19 23.65 181.28
62.19 14.95 105.46
40.74 60.08 287.18
53.41 40.71 234.96
63.49 42.23 194.48
63.26 55.0001 355.99
69.18 63.36 98.62
30.17 77.26 258.87
51.16 95.48 217.57
89.24 66.68 277.63
11.21 85.33 172.11
91.35 72.25 178.75
54.52 21.13 173.23
26.87 32.7 330.33
85.21 27.29 94.22
79.2 86.55 312.82
21.66 26.08 362.69
86.25 17.62 387.76
34.43 40.47 328.12
71.33 80.4 70.65
43.52 89.75 28.7
92.7 82.97 101.3
45.48 17.34 106.14
79.99 38.47 331.43
68.56 54.4601 330.23
46.92 72.94 74.38
36.93 72.68 265.08
90.86 27.1 40.41
80.71 72.75 306.61
11.86 45.73 314.06
82.43 43.01 262
81.9 6.52 124.51
7.79 15.57 277.22
88.5 30.3 100.92
87.13 92.37 284.35
23.02 16.31 1.07
43.08 54.4501 336.72
65.93 9.33 40.23
10.32 64.59 110.14
19.96 17.81 5.56
0.71 78.24 229.61
79.31 32.6 81.54
95.89 29.34 83.09
8.73 24.77 266.3
64.38 82.01 290.43
57.63 77.16 32.82
62.07 98.51 371.55
73.77 42.15 175.53
2.89 60.46 94.51
38.9 65.3 273.64
48.66 7.08 351
13.33 1.98 125.69
83.96 88.07 218.56
84.04 2.23 301.92
99.43 38.45 339.04
78.04 32.63 49.89
95.31 35.92 172.22
53.57 12.23 228.19
11.91 29.11 306.9
27.21 40.98 175.68
93.26 46.89 90.55
31.35 18.07 97.44
18.93 14.39 303.27
34.48 53.76 130
46.67 84.24 375.51
63.59 58.37 295.7
53.93 26.2 262.72
52.88 66.34 63.83
36.02 55.4001 325.65
15.26 90.55 323.33
21.96 84.31 350.56
16.38 74.9 344.79
51.32 90.13 283.93
56.25 39.61 268.66
79.26 15.92 244.72
54.03 74.2 180.78
89.07 65.84 108.28
51.68 91.6 281.05
26.32 52.6 19.46
8.88 55.0701 159.16
22.35 27.42 361.6
6.27 76.83 394.53
70.47 49.38 35.68
5.78 29.07 381.08
92.67 53.8101 227.14
19.05 46.87 114.66
52.43 31.35 201.06
11.54 13.86 175.15
63.15 47.6 325.32
68.05 49.01 195.71
38.23 65.21 130.86
23.32 44.77 354.15
25.13 2 152.2
72.09 19.9 188.57
39.99 33.62 171.76
41.98 27.68 303.17
82.97 99.47 372.8
38.22 36.52 292.78
22.09 22.92 257.24
57 98.99 321.52
49.31 22.58 370.88
22.34 71.79 148.53
56.05 19.22 147.26
97.65 84.86 189.05
78.89 27.08 129.49
21.13 63.56 206.63
79.42 39.62 267.15
61.25 98.87 64.21
97.66 41.68 237.63
30.33 97.62 106.04
71.58 58.93 253.77
45.24 24.3 143.26
79.02 31.49 137.03
46.5 61.38 74.33
35.11 88.14 57.98
32.92 3.3 145.4
4.49 57.33 191.03
68.02 55.44 169.54
40.67 75.31 362.83
2.07 90.09 283.35
21.76 20.48 214.89
35.32 72.07 109.41
58.72 61.36 90.12
87.59 24.57 76.4
38.43 53.6801 14.89
74.96 20.55 233.22
55.19 39.3 9.95
66.62 69.11 67.59
76.68 20.81 167.38
63.47 66.46 80.96
2.76 54.83 299.69
77.94 52.93 42.58
13.78 49.12 350.02
9.08 7.83 39.76
32.92 16.74 371.4
33.63 39.47 112.64
65.55 78.32 32.51
23.13 19.56 39.57
10.63 93.81 59.17
87.18 9.42 89.44
70.7 65.26 280.1
68.65 33.65 335.64
39.73 17.18 390.05
29.13 30.72 8.04
91.43 45.34 300.92
65.64 57.87 84.5
1.56 42.55 358.85
15.12 99.35 57.93
100 36.73 16.45
100 16.09 273.84
100 88.86 156.28
100 27.34 289.68
100 87.83 376.69
100 95.65 327.65
100 1.01 104.02
100 22.83 346.41
100 22.42 179.33
100 77.65 391.06
100 30.07 165.2
100 45.52 205.58
100 8.26 339.8
100 56.61 296.65
100 57.71 316.51
100 48.2 107.82
100 89.22 61.8
100 27.85 289
100 71.96 86.58
100 19.39 269.59
100 39.96 312.45
100 75.82 43.69
100 11.25 324.02
100 72.58 199.89
100 68.74 178.22
100 69.46 366.46
100 48.7 94.65
100 23.73 36.07
100 78.52 137.4
100 49.88 157.72
100 42.84 224.37
100 31.71 186.48
100 17.22 230.76
100 38.38 182.96
100 51.19 116.59
100 55.2401 209.25
100 93.32 202.3
100 83.05 83.67
100 36.46 377.92
100 95.99 98.82
100 37.59 388.87
100 62.93 354.01
100 60.98 144.71
100 83.45 52.55
100 72.33 277.11
100 13.27 78.9
100 99.17 369.35
100 2.09 153.57
100 71.78 295.44
100 44.82 57.26
100 83.34 106.01
100 6.87 78.06
100 11.09 37.47
100 78.24 338.64
100 80.14 117.81
100 46.29 164.31
100 58.36 299.3
100 63.52 249.8
100 29.38 28.64
100 67.03 195.84
100 8.99 63.94
100 57.37 168.63
100 59.53 70.43
100 65.67 163.06
100 16.33 203.16
100 3.93 381.13
100 32.21 220.06
100 77.81 101.3
100 98.95 257.9
100 36.95 396.23
100 10.21 207.88
100 33.05 166.97
100 80.52 196.8
100 62.53 260.95
100 48.81 231.2
100 4.47 75.51
100 42.07 308.69
100 36.3 44.29
100 54.2201 261.21
100 82.05 220.89
100 86.31 370.28
100 68.12 157.97
100 1.63 172.49
100 62.28 35.07
100 45 195.98
100 43.25 65.75
100 85.42 342.44
100 29.03 379.07
100 75.44 254.32
100 87.1 324.17
100 2.8 271.16
100 31.95 183.79
100 34.61 42.32
100 21.6 109.55
100 42.19 155.32
100 28.4 204.51
100 17.87 391.51
100 66.77 67.96
100 85.61 329.57
100 78.29 100.42
100 70.85 330.63
100 50.93 68.16
100 50.05 50.3
100 87.24 291.72
100 51.03 356.52
100 46.7 147.73
100 10.63 238.31
100 59.32 158.1
100 77.38 311.05
100 60.19 285.35
100 77.17 304.5
100 44.93 157.99
100 33.56 270.98
100 10.77 55.08
100 6.74 122.82
100 19.71 362.7
100 38.6 147.69
100 83.64 348.52
100 49.34 179.9
100 59.28 8.22
100 19.22 257.08
100 59.17 192.72
100 18.16 305.91
100 90.37 267.16
100 39.17 216.83
100 86.95 286.91
100 20.71 220.26
100 66.98 154.12
100 94.85 149.76
100 59.33 87.65
100 73.39 167.99
100 51.67 94.19
100 16.46 247.47
100 95.87 25.5
100 36.31 224.05
100 70.25 12.01
100 86.34 9.15
100 30.35 254.44
100 7.05 237.83
100 40.44 123.62
100 5 233.75
100 16.04 46.2
100 73.29 312
100 62.99 365.69
100 72.42 281.18
100 73.79 207.63
100 2.97 236.29
100 24.71 290.21
100 26.47 370.46
100 70.31 384.07
100 36.84 93.49
100 22.76 95.96
100 79.91 169.68
100 77.07 397.97
100 58.17 253.55
100 33.51 104.43
100 69.26 108.79
100 14.95 344.65
100 10.23 79.02
100 53.18 166.78
100 20.29 43.42
100 49.46 85.82
100 98.99 16.29
100 38.34 196.87
100 44.19 279.99
100 47.5 24.76
100 91.43 299.8
100 64.37 211.58
100 13.94 255.63
100 83.72 172.15
100 46.98 231.47
100 14.96 215.15
100 87.07 349.13
100 84.26 208.58
100 8.66 288.79
100 92.95 387.85
100 25.19 180.15
100 82.94 316.05
100 63.42 287.35
100 33.46 378.43
100 51.47 201.97
100 47.48 57.9
100 78.82 278.89
100 76.9 352.29
100 35.96 53
100 83.36 199.82
100 33.38 68.67
100 92.7 27.69
100 58.47 352.22
100 16.56 170.03
100 49.1 258.26
100 15.27 237.24
100 42.58 181.3
100 89.43 264.15
100 3.41 199.56
100 88.42 384.08
100 16.7 104.02
100 29.99 262.52
100 32.55 229.44
100 50.99 363.32
100 26.57 183.84
100 85.6 85.29
100 12.73 319.74
100 42.85 168.75
100 25.02 334.04
100 64.68 4.85
100 49.15 378.42
100 15.32 140.77
100 61.45 279.15
100 46.93 189.91
100 72.23 336.29
100 52.94 389.31
100 68.48 98.67
100 89.79 228.2
100 51.73 391.52
100 44.4 252.39
100 51.78 101.57
100 56.28 88.91
100 0.56 204.34
100 14.56 381.47
100 89.97 52.19
100 82.72 73.44
100 94.96 256.66
100 98.92 383.15
100 93.64 215.59
100 24.76 288.33
100 25.88 271.31
100 40.62 98.28
100 57.2 367.94
100 47.79 16.28
100 97.68 115.99
100 90.67 305.49
100 42.93 245.54
100 60.53 84.26
100 42.28 21.74
100 48.53 157.9
100 12.78 274.26
100 45.72 378.81
100 10.17 392.37
100 93.73 62.28
100 51.91 362.86
100 97.86 197.72
100 5.62 135.15
100 51.95 265.15
100 59.6 146.42
100 15.8 219.94
100 71.69 50.03
100 7.75 298.04
100 71.18 145.35
100 95.28 34.33
100 76.79 135.19
100 66.32 40
100 76.29 345.65
100 24.87 59.11
100 0.65 244.36
100 18.28 25.78
100 38.49 340.44
100 95.46 344.28
100 78.47 289.38
100 38.83 86.6
100 70.65 166.24
100 42.28 268.62
100 26.33 198
100 75.77 80.8
100 88.76 5.76
100 35.55 134.6
100 69.54 185.85
100 76.19 110.54
100 2.98 4.51
100 69.11 177.47
100 56.91 170.51
100 55.7 302.83
100 42.83 246.31
100 38.04 399.24
100 9.22 364.16
100 73.41 144.5
100 9.28 91.98
100 12.92 138.1
100 7.71 183.38
100 91.54 370.58
100 88.3 322.83
100 55.5701 332.21
100 30.82 258.61
100 73.16 241.83
100 47.41 43.54
100 21.77 260.28
100 59.42 319.28
100 43.27 242.16
100 96.34 311.23
100 86.2 303.1
100 45.8 81.51
100 18.07 259.95
100 75.69 254.82
100 34.75 231.39
100 32.08 312.16
100 0.92 268.46
100 43.4 188.3
100 78.63 273.76
100 15.4 293.17
100 96.77 198.56
100 11.59 344.92
100 68.79 89.17
100 7.71 34.29
100 42.65 338.76
100 98.21 346.85
100 72.22 256.58
100 14.09 94.01
100 35.68 23.67
100 37.48 304.98
100 14.18 145.15
100 85.44 220.47
100 82.84 33.13
100 35.88 398.34
100 19.78 122.72
100 44.57 1.93
100 69.86 316.43
100 80.55 332.83
100 37.79 284.6
100 34.7 123.93
100 92.86 261.47
100 46.74 74.61
100 74.5 141.89
100 11.11 322.06
100 78.8 78.94
100 27.26 234.07
100 31.1 22.16
100 25.92 322.55
100 49.26 103.78
100 62.54 150.24
100 55.2101 386.77
100 36.88 159.54
100 79.42 233.3
100 71.74 366.14
100 66.1 351.78
100 88.5 103.71
100 94.43 274.66
100 34.56 127.18
100 47.42 309.26
100 4.85 344.12
100 37.45 257.63
100 50.83 338.12
100 37.41 149.75
100 9.32 307.05
100 66.88 152.98
100 66.51 270.53
100 60.55 163.15
100 62.39 212.95
100 42.07 183.51
100 88.45 384.98
100 87.14 192.99
100 97.51 149.54
100 88.3 395.36
100 33.94 111.06
100 85.55 290.96
100 73.81 385.21
100 94.08 382.53
100 62.72 84.79
100 52.67 300.94
100 93.47 22.16
100 68.59 59.81
100 6.07 107.3
100 58.2 99.94
100 64.41 392.84
100 40.91 36.32
100 98.65 81.68
100 50.89 335.14
100 72.67 233.54
100 67.11 333.3
100 90.3 138.26
100 94.36 189.29
100 70.59 292.28
100 81.49 340.48
100 94.45 220.48
100 64.18 293.99
100 23.95 278.77
100 10.84 332.39
100 20.01 83.55
100 92.59 2.08
100 54.2501 28.96
100 97.48 255.39
100 44.59 55.8
100 81.81 364.21
100 94.8 93.7
100 31.72 83.53
100 87.05 174.41
100 46.55 389.43
100 80.73 2.35
100 41.2 142.12
100 4.09 316.49
100 58.57 224.06
100 72.25 366.87
100 15.52 322.61
100 53.7101 22.29
100 10.18 195.62
100 57.2 40.24
100 83.55 4.11
100 49.36 282.47
100 96.39 90.07
100 89.95 5.25
100 81.94 333.65
100 39.33 290.27
100 95.4 294.58
100 93.12 256.28
100 4.71 198.91
100 57.77 132.4
100 30.03 118.97
100 83.65 377.57
100 2.06 110.8
100 90.07 291.59
100 26.77 131.48
100 74.82 122.95
100 85.19 182.69
100 56.2 50.92
100 31.34 20.15
100 77.55 308.25
100 8.81 23.63
100 42.04 371.22
100 18.37 79.3
100 12.38 69.58
100 98.87 34.42
100 64.34 3.5
100 56.93 308.04
100 34.25 196.65
100 55.4201 77.04
100 9.27 83.49
100 18.37 101.57
100 85.05 73.47
100 2.17 216.63
100 72.88 170.76
100 48.26 383.1
100 90.26 300.24
100 34.61 344.43
100 73.79 201.4
100 15.71 127.86
100 1.38 386.87
100 97.52 341.55
100 2.96 12.96
100 18.79 370.14
100 58.76 155.91
100 33.85 302.53
100 72.64 270.53
100 73.95 226.26
100 15.01 131.18
100 80.89 122.21
100 14.69 218.76
100 66.22 219.53
100 38.3 214.86
100 40.26 396.81
100 1.86 249.17
100 49.31 15.41
100 80.64 72.13
100 86.25 242.37
100 74.12 225.92
100 57.75 227.41
100 88.01 387.67
100 73.32 352.82
100 45.26 312.1
100 1.54 194.42
100 10.28 356.44
100 84.79 320.26
100 3.42 250.55
100 74.69 12.6
100 76.82 200.82
100 40.14 192.15
100 15.84 186.68
100 49.01 235.65
100 89.28 361.69
100 5.91 138.26
100 66.1 303.6
100 10.07 323.04
100 12.65 52.4
100 21.21 346.32
100 62.96 241.93
100 84.42 136.92
100 59.82 54.67
100 94.84 228.69
100 1.55 288.15
100 93.72 12.55
100 61.78 130.21
100 1.26 55.75
100 26.8 229.65
100 3.97 161.91
100 11.58 302.43
100 27.3 58.91
100 47.52 61.99
100 23.98 87.96
100 46.86 225.9
100 60.21 345.85
100 81.02 250.25
100 46.76 250.84
100 46.29 364.41
100 39.38 304.84
100 65.85 324.62
100 72.19 341.38
100 32.27 335.84
100 70.27 244.05
100 79.19 346.79
100 51.72 219.91
100 61.67 136.3
100 54.59 118.24
Iteration : 1
62.4704 87.0505 243.88
61.4603 96.3003 76.1703
24.6001 85.2405 235.96
80.6613 57.4642 341.39
94.3054 12.8203 208.85
35.6601 27.5807 151.31
99.72 79.1508 115.224
30.6401 94.9303 89.4706
18.3101 33.9612 115.812
85.0222 37.0717 9.57004
52.0302 45.376 154.78
26.6101 61.9694 34.2601
98.8873 88.3704 239.15
6.22006 78.4209 79.7903
45.9002 49.8626 168.17
7.03006 69.7922 5.48004
52.5202 23.6505 164.05
19.0701 37.2917 250.47
50.7202 7.16023 168.93
33.7201 11.7203 150.96
27.5901 43.304 131.803
70.7306 39.2822 153.9
44.3802 70.1021 42.4001
69.2505 98.0603 247.25
53.0302 44.8253 357.41
85.3223 88.1605 108.846
73.1807 59.4815 318.25
97.7742 2.39019 272.73
3.01005 18.9004 293.44
94.9596 52.9519 166.39
22.7201 87.1005 86.2505
5.15006 30.1309 118.06
15.5501 63.7261 8.63004
83.2918 96.9703 359.19
49.5202 38.632 332.86
39.6901 6.52022 68.2902
63.0204 74.5813 255.8
54.5902 99.0603 180.66
38.7901 90.6004 46.1101
33.1501 16.7604 120.472
37.6801 2.54019 296.46
16.5801 0.820176 187.75
40.8901 77.9909 258.34
97.0975 63.2069 27.8101
55.4603 48.956 7.14004
57.9003 96.8303 291.18
92.6693 30.0208 348.08
94.9797 70.632 258.35
60.5503 38.3919 27.2701
0.840051 32.7711 289.21
36.3501 38.742 22.2301
6.11006 70.1021 315.51
39.0501 29.3908 302.36
54.5902 4.4202 121.489
88.784 55.57 199.72
26.1701 37.9418 245.67
32.0601 21.9105 54.5601
56.1603 16.6204 1.74004
22.4401 61.0025 345.51
62.5304 90.3504 226.42
20.2601 30.6509 195.04
34.6601 13.6103 397.74
34.0901 14.7703 79.6303
8.65006 38.9221 121.287
29.5701 38.642 341.54
90.8359 79.0908 394.28
35.7601 10.8803 243.66
57.7603 19.6604 273.35
93.3412 56.1788 291.5
27.5601 41.8331 42.6701
87.6733 20.6104 264.82
22.2401 50.5305 201.64
76.1109 78.1509 54.8401
52.5102 24.8006 25.5101
73.7507 91.5004 227.54
26.2801 38.772 311.56
44.4102 15.0603 145.071
80.7213 4.3602 140.361
44.8002 40.3425 287.22
58.3903 41.9832 68.3102
49.3302 49.6205 52.4301
99.93 89.2104 70.4002
91.567 89.1204 285.07
28.1801 17.5904 259.92
61.4403 70.8519 63.4402
62.1904 44.1947 286.08
42.5102 98.4803 375.97
85.1023 57.1615 311.8
89.2443 57.3121 91.3207
8.31006 37.3617 73.0803
32.1901 42.2634 222.55
98.8445 51.101 306.58
96.911 46.7884 126.717
35.5601 44.5851 81.4804
96.2755 50.3987 114.537
64.9104 77.511 313.94
56.8503 45.4161 382.08
78.121 66.5236 390.04
82.7517 8.78024 17.6701
71.2506 34.7713 66.2102
73.4707 66.6535 10.1
65.6004 33.4811 276.41
66.6104 66.0739 388.82
82.6117 11.5203 159.59
84.7622 57.5983 72.5402
66.3304 5.73021 252.86
86.8429 30.1709 322.2
91.567 73.1015 122.706
48.5702 2.25019 246.9
23.2601 90.7304 89.3106
10.0801 64.5152 159.31
43.1302 8.00023 265.02
18.0801 7.36023 287.29
61.6203 99.4203 137.131
43.9602 98.4203 71.7702
94.1747 39.3622 190.69
89.955 64.695 172.35
68.2105 69.6023 105.323
34.3501 71.0719 261.18
4.93006 6.25022 347.58
76.8909 11.0603 214.55
31.2601 93.6503 266.4
68.1905 20.5304 114.039
52.2902 15.1003 333.71
39.7301 50.186 163.64
95.6664 50.3379 171.57
98.1277 91.5504 199.12
75.0408 50.095 128.954
72.2006 73.7214 205.39
14.5601 36.3915 355.26
84.8322 28.7108 398.38
92.8498 70.462 339.88
85.6824 50.7033 164.33
77.061 74.4013 241.21
24.2401 83.6906 15.28
25.3601 65.5742 137.331
89.3644 88.8704 304.46
89.1342 15.8303 174.49
69.4205 19.3604 217.18
78.7811 92.3904 52.8801
49.7102 12.4703 44.6401
27.4701 57.6368 75.5203
10.2801 17.1004 31.8001
46.3102 33.1511 173.54
92.4187 97.4003 135.362
14.0301 74.1913 257.64
60.6903 37.7918 166.92
49.7402 22.7505 308.37
21.7101 75.8611 62.7202
6.48006 4.82021 129.954
44.7102 44.8654 213.33
99.63 4.3502 287.46
68.7305 37.1917 139.441
76.3109 63.3666 291.48
17.2801 69.1324 150.9
21.3501 68.1028 314.12
60.4703 15.9803 210.58
19.4701 13.6403 91.6607
22.8001 25.2506 182.17
31.9201 47.0991 277.58
86.6128 70.422 384.07
11.8201 35.7514 329.84
22.5001 15.4603 66.8602
12.8101 54.2 270.62
96.88 48.1924 259.98
74.3708 12.8303 374.03
12.9801 27.1101 128.93
3.83005 50.4494 308.16
47.1102 87.3605 337.38
53.7702 87.9205 113.26
46.0502 93.4003 140.991
84.282 87.9505 309.86
4.58006 96.2203 190.95
26.0201 54.14 265.85
51.2702 33.5612 9.14004
81.3914 89.5904 388.26
62.1103 98.1403 231.73
12.2401 17.8604 63.9102
42.1802 88.0705 79.3203
8.43006 82.4907 243.69
72.3307 94.2603 282.98
36.5401 33.6212 295.78
99.3686 66.9134 359.71
96.2551 34.2512 42.7301
87.013 93.1503 35.7101
57.0603 21.3705 277.62
36.1101 76.851 216.15
58.7903 97.4003 140.171
23.9801 46.9587 168.17
42.3702 5.39021 235.61
47.0802 55.16 142.291
61.6603 22.8905 61.4702
54.4902 83.1206 262.35
86.983 71.8117 295.39
62.5004 24.1406 253.38
46.1002 46.5479 334.52
26.5001 43.5442 80.4004
79.3912 53.2623 56.1601
52.7702 50.6829 370.49
38.8101 70.3621 22.1901
47.8502 84.9806 281.71
52.6202 23.8705 44.4401
48.3102 61.5904 58.9101
65.4504 78.3909 218.91
85.9925 50.9988 156.14
74.0607 17.4304 170.14
97.7418 45.1157 285.36
